modules 218; WT∩gold shingles 758011; lost (not in any Claude page) 22382 (0.030)
CHFUN05   lost    709 /   7154 (0.10)  | 1 i dont like fish w b x huan y 2 i didnt do homework yesterday || two people objects or things i can make simple comparison sentences how to use b to || or even a bit awkward h n adjective examples flip the card to see
PNR102    lost    326 /   1443 (0.23)  | where could you use your finger to write the number 2 in the sand in the dirt in some dust using your finger as a pen is || tuhi i te tau 2 mā tō matimati ki te kirikiri ki te paru ki te puehu rānei he rawe te whakamahi i tō matimati hei pene e || he aha ētahi mea takirua kei te taiwhanga o tō kāinga ka taea e koe te hanga takirua mā ō taonga mā o kākahu rānei
CEDK501   lost    319 /   9516 (0.03)  | photo young brunette holds a hamburger and a glass with a drink in her hands french fries || lot to this kaiako marked activity activity 6c verbal speaking 5 4 prompt to elicit further information || portrait proud and coach at a swimming pool for training exercise and practice at indoor center
WJFUN307  lost    313 /   2955 (0.11)  | words and language features to suit the texts audience and purpose words that are synonyms carry subtle differences in t || know i have learned it i can identify words that have similar meanings but create different effects select the most suit || communicate ideas to an audience use language features deliberately to support the purpose of my writing justify my lang
CEDR501   lost    308 /  11515 (0.03)  | a list at the beginning of a book that shows the titles of chapters or sections and the page numbers where they start it || found at the back of a book the index is an alphabetical list of topics names or keywords with page numbers it helps rea || the title or name of a chapter usually written at the top of the page when a new chapter begins it tells the reader what
HPRE301   lost    299 /   9142 (0.03)  | reflect on this lesson and explain why having agreements or treaties is important at school and at home read the agreeme || understanding wellbeing using data go to the quiz to show your understanding of investigating relationships between vari || people raising hands over red background voting choosing candidate to rule country responsibility contemporary art colla
SSCI104   lost    292 /   7175 (0.04)  | look at the picture of kiri and rocko imagine they stumbled into a portal and have been transported back in time to the  || letter writing task write a letter to both kiri and rocko or one of them warning them of the dangers they could face in  || questions click the hint button a look inside one of the remains of a home in skara brae
TEDC402   lost    291 /  17805 (0.02)  | computer does with that binary 1 stores it in memory 2 sends it through the cpu 3 displays it on screen 4 saves it in a  || the wrong chart type can 1 hide important patterns 2 exaggerate differences 3 confuse the audience good data || photo installing the ram random access memory into pc motherboard hardware service center
HIS1001   lost    288 /   1387 (0.21)  | scientific evidence from archaeology and linguistics shows that polynesians became polynesians in the western polynesian || reading for information read the text below on the ancient connections among the islands of polynesia then complete the  || https static wixstatic com media 5035839c57c741145a41de881832f035e0b323 mv2 jpg v1 crop x146 y0 w1457 h1418 fill w351 h3
FRFUN06   lost    266 /   4921 (0.05)  | sentence 1 is missing an accent sentence 2 is the correct version of sentence 1 sentence 3 is missing an accent sentence || 1 il a un chien possession direction 2 il va paris possession direction 3 o est la gare possession direction || the end of a word c r f l you might find it helpful
ENGC403   lost    258 /   6683 (0.04)  | student in classroom for education sustainability and energy environment global warming and future with people for cours || i live my community hapori next my country and nearby countries largest circle other english speaking || to say sound more trustworthy which one is more trustworthy look at the list of
WJFUN211  lost    253 /   2237 (0.11)  | mt ruapehu if needed return to lesson 1 to revisit the videos and information about your chosen location in the quiz you || write a descriptive paragraph of 150 to 250 words about your chosen location your writing must use imagery to help reade || create vivid images and effects now it is time to combine everything you have learned about figurative language imagery 
CEDT501   lost    246 /   9245 (0.03)  | i took screenshots of the posts removed the tags and blocked my co worker from my social media i also spoke to my manage || and tone that upholds mana use positive body language make eye contact show you || shared understanding of the kaupapa showing manaakitanga to guests if you are
XGF9003   lost    245 /   9734 (0.03)  | what works best for you break it down into the smallest possible steps transforming a seemingly overwhelming task || my korowai te ara tipu te ara hou secondary lets keep exploring how time || supervisors or whānau to watch what is executive function seth perler and sasha long
GENO901   lost    240 /   7946 (0.03)  | english translations hallo guten tag hello good day wie geht es dir how are you sch n dich zu sehen nice to see you lass || so i chose guten abend 1 mr becker 2 mr meier 3 mrs meier 4 mrs becker 5 sophie 6 milo || being polite from gro101 lesson 5 activity 5b rename as 1e https tekura desire2learn com d2l
PWY1002   lost    236 /   4842 (0.05)  | photo hand putting hand shaking which print screen on wooden cube block in front of human || some things may be best put in writing e g such as a formal complaint || photo portrait of a young man holding the laptop in the classroom or small business
OSSC401   lost    233 /   3963 (0.06)  | sextortion is a scam that targets many young people it is when someone threatens to expose intimate images and videos un || reality the article claims but doesnt link to any research or credible sources incorrect facts incorrect details such as || reality a parody news site post meant as a joke not real bad journalism news items that are poorly researched or without
SSCI205   lost    228 /   7552 (0.03)  | the stadion was the first and most important olympic event athletes raced along a short running track to see who was the || a citizen man was a free man born in athens citizen men could vote speak in meetings and help make laws || i make big decisions to keep order leading others means using power responsibly who am i
XGF9006   lost    217 /   9982 (0.02)  | helps us learn and grow how to give feedback this video has two young children sharing tips and tricks on how to give pe || is the ocean made of clean up technology pollution sea creatures that are blue recycling marine ecosystems trash is bad || constructive and actionable peer feedback this is a deeper look into the skills of giving feedback to each other
SCCH301   lost    217 /   7269 (0.03)  | when a can is heated the water inside turns into steam and leaves the can when we put the can in cold water the steam in || from a solid to a gas it increases its volume quite quickly which means we can do some cool experiments with it || photo busy pedestrian walkway next to next to the famous karl johans gate with trees forms a green
BLL255    lost    201 /   2303 (0.09)  | photo people waiting in line to buy an ice cream at an ice cream van at a car show || scene a place in a story or movie the fairytale castle was my favourite scene in the movie || fort a strong building used for safety the fort stood at the top of the hill
HIS1007   lost    199 /   6470 (0.03)  | affected their people unfairly do ākonga will be able to explore pūrākau and pakiwaitara in || journal to see instructions about how to use this resource and complete the mapping activity || the golden trans atlantic slave triangle huge profits were made at every stage
OSGM401   lost    195 /   4460 (0.04)  | dont share personal information like your name address or school people online might seem friendly to gain your trust an || loot boxes or special items these purchases can add up very quickly some games use pressure tactics like limited time of || assessment for learning complete the self assessment quiz at the end of the module titiro whakamuri kōkiri whakamua look
TEDC401   lost    194 /  11070 (0.02)  | an important clarification for us to know about is that prototyping is also known as creating a proof of concept or desi || photo web ui ux design web development concept a web developer works on a website to develop mobile and || that apply save to cloud open local photos refresh feed sync notes between devices play soundtrack offline
HPRE203   lost    194 /   7414 (0.03)  | photo portrait cheerful asian little boy kid making hands between something empty space isolated on || photo group of people and a woman in a wheelchair embracing in public park || photo team of creative little children with teacher put together pieces of jigsaw puzzle
WJFUN304  lost    187 /   4593 (0.04)  | and detail create and explain in this quiz there are two parts in part one you will choose an image to write a short par || short sentences for impact longer sentences sentences with different openings need help check this model || used deliberately to control focus at least 1 colon or semicolon to connect
CEDW501   lost    185 /   8690 (0.02)  | photo hands drawing fresh pure water from the spring delicious drinking water from the || the most important house is usually round in shape and serves as a || represents a place of origin both geographically and spiritually for all māori
OSOH301   lost    184 /   2339 (0.08)  | environment make sure to work in an environment that will help you to do schoolwork make sure you are in a place that is || breaks and movement make sure to have breaks away from screens try to have at least one five minute break every hour to  || your desk or table should be at a height that allows your shoulders to be relaxed elbows to hang from your shoulders and
OSSM301   lost    182 /   2740 (0.07)  | a keep it locked b keep it private c keep it to herself d keep it real e keep it friendly || a keep it locked b keep it private c keep it to yourself d keep it real e keep it friendly || a keep it locked b keep it private c keep it to yourself d keep it real e keep it friendly
OSSM401   lost    174 /   4582 (0.04)  | if you know the real story of alice in wonderland there are three key characters called mad hatter white rabbit and quee || broadcasting yourself and sharing live video with followers in real time on apps like twitch tiktok live and instagram l || sites like pinterest where you collect and share ideas like fashion art and projects tip respect others and yourself whe
BLL270    lost    172 /   3169 (0.05)  | reach 100 points a 1 point ā 6 points e 2 points ē 7 points i 3 points ī 8 points o 4 points ō 9 points u 5 points ū 10  || the sounds te reo māori tirohanga whānui overview knowledge kupu māori the || just like in the word u p e just like in the
WJFUN112  lost    166 /   1597 (0.10)  | identifying the audience and purpose for a text then planning and writing for the intended audience and purpose choosing || the purpose of a text recognise texts that inform persuade or entertain explain why a writer has chosen formal or inform || knowledge choosing the right language style register such as formal or informal helps make the writing clear and suitabl
WJFUN306  lost    164 /   3682 (0.04)  | communication choice possible effect crystal clear waters creates a positive image of kai iwi lakes sweeping sands helps || for your audience and purpose look at each option before heading to the quiz remember effective communicators make delib || video dargaville things to do kauri coast information centre accommodation activities and attractions
MXFU402   lost    155 /   5164 (0.03)  | tino pai you have shown your knowledge of finding theoretical and experimental probability in the next lesson you will l || you now know probability language and theoretical probability in the next lesson you will help taliah to plan the first  || what data do we need data collect the information we need analysis make sense of the data
XMES202   lost    152 /   7656 (0.02)  | 3 cm 4 cm 5 cm 6 cm 7 cm 8 cm 9 cm 10 cm more than 10 cm reflection how was this learning || 3 cm 4 cm 5 cm 6 cm 7 cm 8 cm 9 cm 10 cm more than 10 cm the shortest plant was || like to approach new learning he aha tāku hei tīmata what do i need to
