fate | Claude container | gold | links | pages | modules | examples
HREF LOST | tab-pane        | gold no <a> |    19 |    9 |   9 | AGH1006: «activity» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «activity» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «ratio» yates.co.nz/products/fertilisers-tonics/ ;; AGH1006: «ratio» images.app.goo
HREF LOST | alert           | gold <a>    |    18 |    7 |   7 | OSBY401: «online contact form» netsafe.org.nz/report ;; OSBY401: «online contact form» netsafe.org.nz/report ;; OSBY401: «online contact form» netsafe.org.nz/report
HREF LOST | ?               | gold <a>    |    17 |   13 |   9 | BLL254: «**[Audio]**» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «[possible]» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «**[Audio]**» drive.google.com/file/d/1n-jhje9osglik3w
TEXT LOST | -               | gold <a>    |    13 |    0 |   7 | ANZH205: «Waitangi Map» earth.google.com/earth/d/1e0imavb3owee2z ;; ANZH205: «https://earth.google.com/earth» earth.google.com/earth/d/1e0imavb3owee2z ;; HIS1006: «.html» folksong.org.nz/e_pa_to_hou/index.html
HREF LOST | carousel        | gold no <a> |    12 |    7 |   7 | AGH1006: «disbudding» alamy.com/disbudding-a-dahlia-plant-usin ;; BLL262: «or in the folder here» mytekuraschool.sharepoint.com/:b:/s/tear ;; BLL262: «(School Journal text) can be f» mytekuraschool.sharepoint.com/:b:/s/t
HREF LOST | cv2-interactive | gold <a>    |     8 |    7 |   7 | ANZH205: «Link to letter» teara.govt.nz/en/zoomify/35114/1831-lett ;; ANZH205: «Link to He Whakaputanga» nzhistory.govt.nz/media/interactive/the- ;; ANZH404: «Support for the Kotahitanga mo» teara.govt.nz/en/map/33589/su
HREF LOST | accordion       | gold <a>    |     6 |    5 |   5 | ANZH205: «usp» earth.google.com/earth/d/1e0imavb3owee2z ;; ANZH205: «=sharing» earth.google.com/earth/d/1e0imavb3owee2z ;; ENGR202: «Wheel barrow» kiwikidsnews.co.nz/worlds-fastest-wheelb
HREF LOST | speechBubble    | gold <a>    |     4 |    2 |   2 | OSAH501: «online contact form» netsafe.org.nz/report ;; OSAH501: «online contact form» netsafe.org.nz/report ;; OSAH501: «online contact form» netsafe.org.nz/report
HREF LOST | alert           | gold no <a> |     3 |    3 |   3 | CEDK501: «Kia Māia» mytekuraschool.sharepoint.com/:w:/s/tear ;; MXFUN01: «Decimals.» mytekuraschool.sharepoint.com/:v:/s/tear ;; OSBY301: «online contact form» netsafe.org.nz/report
HREF LOST | tab-pane        | gold <a>    |     2 |    2 |   2 | XDLS909: «here» govt.nz/browse/passports-citizenship-and ;; XTAS102: «Help» nzsl.nz/signs/384
HREF LOST | flipCard        | gold <a>    |     1 |    1 |   1 | TWHK901: «DOC link» doc.govt.nz/get-involved/volunteer/group
HREF LOST | carousel        | gold <a>    |     1 |    1 |   1 | TWHK902: «tree planting» unep.org/news-and-stories/press-release/
